# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:21:12
# test: straight 3 400
# period_ms=10 samples=198 capacity=384 result=OK build="Sep 24 2026 19:16:58"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=4294967291 ticks_per_turn=381 turn_still_ms=20
# spd=400 fast=400 turn=140 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=198
# nota: cal straight 3 sale practicamente perfecto
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
850,2678,2724,434,365,27,30,1291,461
860,2715,2760,442,357,24,148,1313,467
870,2751,2797,434,365,28,253,1317,442
880,2788,2834,474,325,27,248,1316,444
890,2826,2870,464,336,57,28,1337,442
900,2864,2905,434,365,87,27,1342,445
910,2901,2941,446,353,87,43,1336,438
920,2940,2976,437,362,35,26,1363,445
930,2978,3011,443,356,73,27,1361,442
940,3016,3047,447,352,69,36,1384,445
950,3054,3082,439,360,90,43,1386,442
960,3093,3117,439,360,85,42,1384,446
970,3131,3153,431,368,37,54,1384,442
980,3169,3188,439,360,45,54,1382,445
990,3207,3224,441,358,46,125,1386,443
1000,3245,3260,432,367,46,26,1410,446
1010,3284,3295,443,356,36,26,1406,441
1020,3322,3330,443,356,36,81,1386,447
1030,3360,3364,434,365,46,56,1384,470
1040,3398,3399,418,381,46,53,1386,469
1050,3435,3435,410,389,59,54,1340,449
1060,3472,3470,446,353,37,53,1341,446
1070,3511,3505,430,369,39,68,1340,471
1080,3549,3540,422,377,37,54,1317,469
1090,3587,3576,439,360,46,53,1318,469
1100,3624,3612,427,372,46,69,1316,468
1110,3662,3647,443,356,46,40,1316,470
1120,3700,3681,432,367,46,25,1293,470
1130,3738,3717,416,383,46,33,1271,493
1140,3776,3753,408,391,90,32,1267,492
1150,3812,3789,424,375,89,53,1271,494
1160,3848,3826,430,369,58,103,1248,493
1170,3884,3862,416,383,58,101,1250,493
1180,3921,3900,432,367,57,102,1251,496
1190,3959,3936,423,376,72,101,1248,493
1200,3996,3973,431,368,71,148,1249,494
1210,4032,4010,426,373,71,148,1225,493
1220,4070,4048,420,379,73,149,1231,494
1230,4107,4085,436,363,71,67,1230,494
1240,4144,4121,415,361,73,102,1224,493
1250,4180,4158,402,337,90,103,1226,492
1260,4216,4193,375,328,88,54,1227,495
1270,4251,4229,368,301,90,53,1226,518
1280,4285,4263,342,305,89,149,1203,515
1290,4318,4296,334,313,113,177,1205,518
1300,4351,4329,308,273,90,171,1204,516
1310,4384,4361,290,245,89,197,1204,516
1320,4414,4392,269,236,72,173,1204,518
1330,4443,4420,267,211,130,176,1201,517
1340,4470,4448,243,209,137,177,1185,518
1350,4496,4474,243,185,137,173,1185,518
1360,4521,4499,220,186,138,174,1182,516
1370,4544,4522,213,162,114,172,1188,518
1380,4567,4544,197,154,138,173,1182,518
1390,4587,4565,185,144,137,175,1183,516
