# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:29:53
# test: turn 4
# period_ms=10 samples=212 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=362 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=212
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
830,762,-805,0,0,243,36,933,681
840,767,-810,0,0,29,40,933,706
850,771,-814,0,0,29,56,910,704
860,772,-817,0,0,29,83,910,728
870,772,-818,0,0,29,82,886,728
880,773,-818,0,0,29,57,886,748
890,773,-817,0,0,29,29,884,754
900,773,-817,0,0,29,31,887,750
910,773,-817,0,0,75,30,888,751
920,773,-817,36,-36,140,28,884,728
930,773,-818,76,-76,139,30,886,727
940,775,-819,116,-116,28,278,887,752
950,779,-823,156,-156,29,270,879,751
960,783,-827,180,-180,29,25,894,728
970,788,-832,180,-180,27,27,883,752
980,795,-839,180,-180,28,26,891,754
990,803,-847,180,-180,27,43,859,775
1000,811,-857,180,-180,27,41,865,801
1010,821,-867,180,-180,29,28,836,798
1020,831,-878,180,-180,27,297,842,852
1030,842,-890,180,-180,28,293,806,853
1040,853,-901,180,-180,28,297,784,876
1050,864,-914,180,-180,28,399,781,923
1060,875,-926,180,-180,27,414,716,922
1070,887,-939,180,-180,74,533,665,967
1080,899,-952,180,-180,69,531,670,991
1090,911,-965,180,-180,59,643,598,993
1100,923,-978,180,-180,216,759,599,1014
1110,936,-991,180,-180,214,756,549,1014
1120,949,-1004,180,-180,335,828,508,1014
1130,961,-1018,180,-180,361,824,502,1014
1140,974,-1031,180,-180,359,896,463,1014
1150,986,-1045,180,-180,432,969,443,1017
1160,999,-1059,180,-180,431,964,445,991
1170,1011,-1072,180,-180,526,1014,371,991
1180,1024,-1086,180,-180,604,1063,375,968
1190,1037,-1099,180,-180,601,1060,278,968
1200,1050,-1114,180,-180,671,1109,24,922
1210,1063,-1127,180,-180,769,1107,24,877
1220,1076,-1141,180,-180,768,1130,122,877
1230,1089,-1155,180,-180,840,1132,132,776
1240,1103,-1169,180,-180,840,1134,143,636
1250,1115,-1183,180,-180,888,1134,139,636
1260,1128,-1196,0,0,965,1134,143,521
1270,1137,-1206,0,0,963,1132,123,528
1280,1143,-1212,0,0,1034,1111,306,543
1290,1148,-1217,0,0,1078,1109,305,614
1300,1152,-1222,0,0,1079,1086,424,615
1310,1156,-1226,0,0,1103,1065,423,637
1320,1158,-1227,0,0,1101,1062,483,660
1330,1158,-1229,0,0,1127,1043,509,661
1340,1158,-1229,0,0,1126,1041,506,661
1350,1158,-1229,8,-8,1124,1040,507,659
1360,1158,-1229,48,-48,1102,1041,508,656
1370,1158,-1231,88,-88,1101,1041,505,659
1380,1158,-1234,128,-128,1101,1047,509,658
1390,1159,-1239,168,-168,1102,1039,506,657
1400,1164,-1243,180,-180,1101,1039,507,660
1410,1170,-1249,180,-180,1101,1043,506,657
1420,1175,-1256,180,-180,1125,1041,505,683
1430,1183,-1264,180,-180,1123,1016,555,701
1440,1191,-1274,180,-180,1125,994,624,704
1450,1199,-1284,180,-180,1134,993,623,753
1460,1209,-1295,180,-180,1144,941,691,749
1470,1219,-1307,180,-180,1147,920,692,775
1480,1230,-1319,180,-180,1147,920,788,802
1490,1241,-1331,180,-180,1168,875,840,798
1500,1253,-1343,180,-180,1173,873,841,853
1510,1265,-1356,180,-180,1172,804,911,872
1520,1277,-1370,180,-180,1174,737,956,875
1530,1289,-1383,180,-180,1174,738,955,879
1540,1301,-1397,180,-180,1152,690,1003,875
1550,1313,-1411,180,-180,1104,666,1001,901
1560,1326,-1425,180,-180,1106,666,1045,901
1570,1339,-1439,180,-180,1034,807,1071,901
1580,1351,-1454,180,-180,966,802,1067,876
1590,1364,-1468,180,-180,964,896,1094,856
1600,1378,-1483,180,-180,869,944,1093,853
1610,1391,-1497,180,-180,863,941,1090,804
1620,1403,-1511,180,-180,728,968,1072,801
1630,1417,-1526,180,-180,653,970,1070,754
1640,1430,-1540,180,-180,655,996,1048,662
1650,1443,-1555,180,-180,701,1018,1050,662
1660,1456,-1569,180,-180,775,1019,1048,569
